"#","Reference","Qty","Value","Footprint","DNP"
"1","J1, J3","2","Conn_01x01","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal",""
"2","J2, J4","2","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Horizontal",""
"3","JMP1, JMP2, JMP3, JMP4, JMP5, JMP6, JMP7, JMP8, JMP9, JMP10, JMP11, JMP12, JMP13, JMP14, JMP15, JMP16","16","~","TacTile:Jumper_Connect",""
"4","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L40, L41, L42, L43, L44, L45, L46, L47, L48, L49, L50, L51, L52, L53, L54, L55, L56, L57, L58, L59, L60, L61, L62, L63, L64","64","8_coil_solenoid","TacTile:8_coil_solenoid",""
"5","U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16","16","MCP14A0304xMNY","Package_DFN_QFN:WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm",""
