"#","Reference","Qty","Value","Footprint","DNP"
"1","J1","1","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal",""
"2","J2","1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal",""
"3","R1, R2, R3, R4, R5, R6, R7, R8","8","R_Photo","TacTile:Photoresistor",""
"4","U1","1","74HC595","Package_DIP:DIP-16_W7.62mm",""
