"#","Reference","Qty","Value","Footprint","DNP"
"1","J1","1","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal",""
"2","J2","1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal",""
